station_code,exit_number,latitude,longitude,osm_type,osm_id
217,1,35.1455393,129.0664434,node,8269280717
217,2,35.1446852,129.0670037,node,8269280718
217,3,35.1460999,129.0664601,node,8269280719
217,4,35.1469291,129.0669568,node,8269280720
218,1,35.1518231,129.0651749,node,8269257043
218,2,35.1518367,129.0656368,node,8269257044
218,3,35.1524762,129.0651736,node,8269257045
218,4,35.1524793,129.0656342,node,8269257046
218,5,35.1532690,129.0651647,node,8269257047
218,6,35.1532711,129.0656291,node,8269257048
218,7,35.1543643,129.0651545,node,8269257049
218,8,35.1541640,129.0656214,node,8269257050
219,1,35.1568789,129.0590427,node,8265954344
219,11,35.1580608,129.0585951,node,8265954353
219,2,35.1568633,129.0592599,node,8265954345
219,3,35.1572260,129.0587149,node,8265954346
219,4,35.1572272,129.0594531,node,8265954347
219,5,35.1573258,129.0585913,node,8265954348
219,6,35.1574139,129.0596966,node,8265954349
219,7,35.1572942,129.0579108,node,8265954350
219,9,35.1580683,129.0578949,node,8265954352
220,1,35.1572999,129.0512094,node,8269113340
220,2,35.1578016,129.0511150,node,8269113339
220,3,35.1571092,129.0510698,node,5279364100
220,4,35.1579008,129.0509317,node,5279364099
220,5,35.1571023,129.0504248,node,5279364095
220,6,35.1577577,129.0503090,node,5279364096
220,7,35.1569140,129.0492760,node,5279364098
220,8,35.1572861,129.0491428,node,5279364097
221,,35.1559468,129.0424333,node,5473308588
221,1,35.1556987,129.0431780,node,5279364092
221,2,35.1560606,129.0430715,node,5279364091
221,3,35.1555956,129.0425890,node,5279364093
221,4,35.1559561,129.0425132,node,5279364094
222,1,35.1539658,129.0332848,node,8269071521
222,2,35.1543518,129.0331861,node,8269071522
222,3,35.1536811,129.0324667,node,8269071523
222,4,35.1543860,129.0325306,node,8269071524
222,5,35.1535740,129.0320149,node,8269071525
222,6,35.1545175,129.0317806,node,8269071528
222,7,35.1536681,129.0316442,node,8269071526
222,8,35.1540518,129.0314523,node,8269071527
223,1,35.1530338,129.0213180,node,8269068824
223,2,35.1534100,129.0213014,node,8269068825
223,3,35.1529398,129.0206981,node,8269068826
223,4,35.1534398,129.0203146,node,8269068829
223,5,35.1527494,129.0202727,node,8269068827
223,7,35.1528924,129.0198382,node,8269068828
224,1,35.1511359,129.0131137,node,8269057278
224,2,35.1514908,129.0130803,node,8269057279
224,3,35.1510029,129.0115041,node,8269057280
224,4,35.1513534,129.0114480,node,8269057281
224,5,35.1509726,129.0111698,node,8269057282
224,6,35.1513273,129.0111214,node,8269057283
225,1,35.1503739,129.0038909,node,8269051673
225,2,35.1507015,129.0038519,node,8269051674
225,3,35.1503246,129.0034651,node,8269051676
225,4,35.1506670,129.0034230,node,8269051675
225,5,35.1502596,129.0027440,node,8269051677
225,6,35.1506235,129.0026947,node,8269051678
225,7,35.1502255,129.0023917,node,8269051680
225,8,35.1505970,129.0023515,node,8269051679
226,1,35.1555514,128.9911286,node,8269000468
226,2,35.1556416,128.9912294,node,8269000469
226,3,35.1558017,128.9908052,node,8269000470
226,4,35.1561105,128.9908390,node,8269000471
227,1,35.1617787,128.9846268,node,8269003091
227,1,35.1621420,128.9859769,node,8269003098
227,2,35.1617609,128.9857190,node,8269003092
227,2,35.1624075,128.9859413,node,8269003097
227,3,35.1624358,128.9841420,node,8269003093
227,4,35.1624076,128.9850861,node,8269003094
227,5,35.1636499,128.9837337,node,8269003095
227,6,35.1637438,128.9840744,node,8269003096
228,1,35.1729005,128.9835586,node,8268996255
228,2,35.1728479,128.9838086,node,8268996256
228,3,35.1742519,128.9840253,node,8268996257
228,4,35.1742089,128.9842903,node,8268996258
229,1,35.1797458,128.9853475,node,5903033765
229,2,35.1797280,128.9856126,node,5903033764
229,3,35.1810463,128.9856773,node,5903033762
229,4,35.1810438,128.9859931,node,5903033763
230,1,35.1887882,128.9880775,node,5843419434
230,2,35.1886968,128.9883854,node,5843419432
230,3,35.1903240,128.9888377,node,5843419430
230,4,35.1902501,128.9890379,node,5843419431
231,1,35.1971351,128.9949923,node,5835485184
231,2,35.1970071,128.9952387,node,5835485185
231,3,35.1975754,128.9953121,node,5835485186
231,4,35.1960611,128.9945877,node,5835485174
231,4,35.1974720,128.9955786,node,8268960564
232,1,35.2023634,128.9990398,node,5835463263
232,2,35.2022308,128.9992242,node,5835463262
232,3,35.2033975,128.9999002,node,5835463260
232,4,35.2032763,129.0001162,node,5835463261
233,10,35.2116481,129.0048827,node,1772335958
233,12,35.2105398,129.0064608,node,1772335999
233,6,35.2104099,129.0056739,node,1772335795
233,7,35.2115869,129.0046064,node,1772335885
233,8,35.2105152,129.0053732,node,1772335915
233,9,35.2103339,129.0066096,node,1772335808
234,1,35.2231396,129.0089408,node,1772344186
234,2,35.2227141,129.0091330,node,1772344203
234,3,35.2236466,129.0089435,node,1772344189
234,4,35.2234976,129.0094464,node,1772344202
235,1,35.2352412,129.0136963,node,8268920370
235,2,35.2352322,129.0139669,node,8268920371
235,3,35.2357279,129.0137348,node,8268920372
235,4,35.2357185,129.0139929,node,8268920373
235,5,35.2364352,129.0137660,node,8268920374
235,6,35.2364273,129.0140244,node,8268920375
236,1,35.2461232,129.0127360,node,8268898002
236,2,35.2461279,129.0130212,node,8268898003
236,3,35.2466759,129.0127641,node,8268898004
236,4,35.2466749,129.0130397,node,8268898005
237,1,35.2579488,129.0127219,node,8268895990
237,2,35.2585706,129.0125361,node,8268895989
238,1,35.2660457,129.0166061,node,1764078366
238,2,35.2661795,129.0162673,node,1764078362
238,3,35.2663879,129.0167957,node,1764078352
238,4,35.2665385,129.0164704,node,1764078364
238,5,35.2682616,129.0174237,node,1764078371
238,6,35.2670687,129.0172256,node,4002413815
239,1,35.2811515,129.0170538,node,1762846649
239,2,35.2817170,129.0172188,node,8268839623
239,3,35.2813888,129.0170276,node,8268839624
240,1,35.3083842,129.0099964,node,8268801333
241,1,35.3167168,129.0134094,node,8268792544
241,3,35.3171724,129.0130149,node,8268792545
241,5,35.3172293,129.0136734,node,8268792546
242,1,35.3254904,129.0188114,node,8268752339
242,2,35.3252613,129.0195565,node,8268752341
242,3,35.3261358,129.0192758,node,8268752340
243,1,35.3382146,129.0262314,node,8268708681
243,2,35.3386090,129.0266062,node,8268708682
243,3,35.3391929,129.0269867,node,8268708684
243,4,35.3384710,129.0269968,node,8268708683
301,1,35.1677513,129.1153957,node,8269398824
301,2,35.1677222,129.1148397,node,8269398831
