source_content_type_id,source_lcls3_code,target_place_type,target_subtype_code,target_subtype_name,mapping_status,source_count,sample_titles
12,VE120300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,78,강진 오감통 / 왕산마리나 / 푸른마을공동체센터
14,VE020100,TOURIST_SPOT,THEME_PARK,테마파크,NEEDS_REVIEW,1,정선벅스랜드
14,VE020400,TOURIST_SPOT,THEME_PARK,테마파크,NEEDS_REVIEW,5,대전아쿠아리움 / 울진아쿠아리움 / 대구 아쿠아리움
14,VE020500,TOURIST_SPOT,THEME_PARK,테마파크,NEEDS_REVIEW,4,부천어린이천문대 / 영천보현산천문과학관 / 판교어린이천문대
14,VE030100,TOURIST_SPOT,PARK,공원,NEEDS_REVIEW,2,함평엑스포공원 / 성포예술공원
14,VE030400,TOURIST_SPOT,PARK,공원,NEEDS_REVIEW,1,천마산 조각공원
14,VE030500,TOURIST_SPOT,PARK,공원,NEEDS_REVIEW,1,고산 윤선도 문학체험공원
14,VE060100,TOURIST_SPOT,PERFORMANCE_HALL,공연장,CONFIRMED,352,홍대난타극장 / 경주예술의전당 / 전주 덕진예술회관
14,VE060200,TOURIST_SPOT,PERFORMANCE_HALL,공연장,CONFIRMED,20,광주극장 / 광주자동차극장 / 애관극장
14,VE070100,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,594,덕소자연사박물관 / 안양박물관 / 국립세계문자박물관
14,VE070200,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,154,3.15의거 발원지 기념관 / 희움 일본군 위안부 역사관 / 왕산허위선생기념관
14,VE070300,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,511,인천도시역사관 / 경북예술센터 / 진천 향토민속자료전시관
14,VE070400,TOURIST_SPOT,EXHIBITION_CENTER,전시·컨벤션시설,CONFIRMED,22,배다리 아트스테이1930 / 김대중컨벤션센터 / 대전컨벤션센터(DCC)
14,VE070500,TOURIST_SPOT,MUSEUM,박물관·기념관,CONFIRMED,61,무주 반디별 천문과학관 / 전남광주통합특별시 해양수산과학관 / 나로우주센터 우주과학관
14,VE070600,TOURIST_SPOT,ART_MUSEUM,미술관,CONFIRMED,360,빙하미술관 / 퐁피두센터 한화 / 제주현대미술관
14,VE090100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,176,영양문화원 / 무안문화원 / 안동문화원
14,VE090200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,5,중남미문화원 / 주한독일문화원 / 주한 프랑스 대사관 어학센터
14,VE090300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,239,국회도서관 / 우리소리도서관 / 경상남도교육청 마산지혜의바다도서관
14,VE090400,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,40,태권도원 / 동편제 판소리전수관 / 구례향제줄풍류전수관
14,VE090600,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,14,전라남도교육청 창의융합교육원 / 수피아여자중고등학교 / 계성중학교
14,VE100200,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,2,제물포구청소년수련관 / 서울액션스쿨 (마샬아트센터)
14,VE120100,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,50,동그란책 / 여행책방 잔잔하게 / 책봄
14,VE120300,TOURIST_SPOT,GENERAL_TOURIST_SPOT,기타 관광지,NEEDS_REVIEW,99,강경구락부 / 화동2571 / 쉬어가삼［례:］
15,EV010100,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,65,광주 추억의 충장축제 / 안성맞춤 남사당 바우덕이축제 / 정남진 장흥 물축제
15,EV010200,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,240,성북문화바캉스 / 피란수도 부산 국가유산 야행 / 경포 썸머 페스티벌
15,EV010300,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,53,청양 고추 구기자 축제 / 봉화은어축제 / 홍천 찰옥수수 축제
15,EV010400,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,63,서대문독립민주축제 / 직지문화축제 / 광주국가유산야행
15,EV010500,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,65,장항 맥문동 꽃 축제 / 초안산 수국축제 / 원주용수골꽃양귀비축제
15,EV010600,TOURIST_SPOT,FESTIVAL,축제,CONFIRMED,128,외계인 대축제 / 공주야밤 맥주축제 / 평창더위사냥축제
15,EV020100,TOURIST_SPOT,PERFORMANCE_EVENT,공연 행사,CONFIRMED,12,2025 단단단페스티벌 / 제48차 유네스코 세계유산위원회 특별공연 산화비 : HEXAGRAM 22 / 전주한옥마을 전통연희 퍼레이드-노상놀이야
